founder,company,location,employees
Samuel van den Bergh,Unilever,Wirral,168000
Alain Chevalier,LVMH,Paris,156088
Antonius Johannes Jurgens,Unilever,Wirral,168000
Ray Kroc,McDonald's,Chicago,210000
Amadeo Giannini,Bank of America,Charlotte,204000
Amadeo Giannini,Bank of America,Charlotte,209000
Artem Mikoyan,Mikoyan,Moscow,10090
Gustaf de Laval,Alfa Laval,Lund,10800
Mikhail Gurevich,Mikoyan,Moscow,10090
Koo In-hwoi,LG Corporation,Seoul,222000
"William Lever, 1st Viscount Leverhulme",Unilever,Unilever House,168000
John B. Young,Tiffany & Co.,New York City,10600
Marcel Bich,Société Bic,Paris,10449
Glen Bell,Taco Bell,Irvine,175000
Ding Lei,NetEase,Guangzhou,10004
Henry Wells,Wells Fargo,San Francisco,150500
Richard Nixon,Drug Enforcement Administration,Arlington County,10784
Marcel Bich,Société Bic,Clichy,10449
Henry Racamier,LVMH,Paris,156088
Yuan Geng,Ping An Insurance,Shenzhen,190000
Louis Renault,Renault,Boulogne-Billancourt,187345
Jack Lang,France Télévisions,Paris,11000
William Cooper,PricewaterhouseCoopers,London,250930
Marcel Renault,Renault,Boulogne-Billancourt,187345
Giovanni Agnelli,Fiat S.p.A.,Turin,193348
Ferdinand VII of Spain,Complutense University of Madrid,Rectorado de la UCM,10506
Hiroshi Mikitani,Rakuten,Futako-Tamagawa Rise,10000
"William Lever, 1st Viscount Leverhulme",Unilever,Rotterdam,168000
"Robert Ingersoll Ingalls, Sr.",Ingalls Shipbuilding,Pascagoula,10900
Thomas Burberry,Burberry,London,10629
Hans List,AVL,Graz,10400
Vladimir Putin,Rosatom,Bolshaya Ordynka Street,256600
"William Lever, 1st Viscount Leverhulme",Unilever,Kellen,168000
Friedrich Krupp,Friedrich Krupp AG,"Berndorf, Lower Austria",160000
Frank Phillips,ConocoPhillips,Houston,10800
Gerd Bucerius,Gruner + Jahr,Hamburg,10079
Gerd Bucerius,Gruner + Jahr,Hamburg,10551
Dieter Schwarz,Lidl,Neckarsulm,178741
Doris F. Fisher,"Gap, Inc.",San Francisco,152000
Richard Nixon,Drug Enforcement Administration,Springfield,10784
George W. Bush,United States Department of Homeland Security,Nebraska Avenue Complex,229000
Walt Disney,The Walt Disney Company,Burbank,195000
Richard Gruner,Gruner + Jahr,Hamburg,10079
Richard Gruner,Gruner + Jahr,Hamburg,10551
Roy O. Disney,The Walt Disney Company,Burbank,195000
Louis Loucheur,Vinci,Rueil-Malmaison,194428
Zev Siegl,Starbucks,Seattle,238000
William C. Durant,General Motors,Detroit,216000
Dhirubhai Ambani,Reliance Industries Limited,Mumbai,250000
Lawrence Dale Bell,Bell Flight,Fort Worth jail,10200
Eddie Bauer,"Eddie Bauer Holdings, Inc.",Bellevue,10000
"William Lever, 1st Viscount Leverhulme",Unilever,Wirral,168000
Samuel van den Bergh,Unilever,Unilever House,168000
Ren Zhengfei,Huawei,Longgang District,180000
Jeffrey Brotman,Costco,Issaquah,254000
William C. Durant,General Motors,Michigan,216000
Harry S. Truman,United States Department of Defense,The Pentagon,2870000
Antonius Johannes Jurgens,Unilever,Unilever House,168000
Vladimir Putin,Rosatom,Moscow,256600
Jerry Baldwin,Starbucks,Seattle,238000
Edwin Waterhouse,PricewaterhouseCoopers,London,250930
سعيد اخو مبارك,Starbucks,Seattle,238000
William Fargo,Wells Fargo,San Francisco,150500
Jacques Saadé,CMA CGM,CMA CGM Tower,29740
Jacques Saadé,CMA CGM,Marseille,29740
Theodore Roosevelt,Federal Bureau of Investigation,"Washington, D.C.",35104
Kim Chong-hee,Hanwha,Seoul,30000
Sam Eyde,Norsk Hydro,Oslo,35000
Eberhard Anheuser,Anheuser-Busch,St. Louis,30849
Ludwig Bamberger,Deutsche Bank,Frankfurt am Main,43000
George A. Archer,Archer Daniels Midland,77 West Wacker Drive,31600
Erwin Franz Müller,Müller,Oberentfelden,33635
Anwar Pervez,Bestway,London,33600
Leonardo Del Vecchio,Luxottica,London,35000
Michael Braun,Triumph International,Heubach,33000
Marcus Goldman,Goldman Sachs,200 West Street,34000
Marcus Goldman,Goldman Sachs,200 West Street,34400
Johann Gottfried Spiesshofer,Triumph International,Bad Zurzach,33000
Anton Schlecker,Schlecker,Ehingen,36000
Milan Puskar,Mylan,Canonsburg,35000
R. Stanton Avery,Avery Dennison,Glendale,36000
Clara Barton,American Red Cross,"Washington, D.C.",35000
William H. Moore,U.S. Steel,Pittsburgh,42000
Erwin Franz Müller,Müller,Vienna,33635
Carl Zeiss,Carl Zeiss AG,Oberkochen,29309
Wilhelm Wilhelmsen,Wilh. Wilhelmsen,Lysaker,28000
Erwin Franz Müller,Müller,Ulm,33635
King Camp Gillette,Gillette,Boston,29000
Andy Bechtolsheim,Sun Microsystems,Santa Clara,34600
M. Ct. M. Chidambaram Chettyar,Indian Overseas Bank,Chennai,31846
Elbert Henry Gary,U.S. Steel,Pittsburgh,42000
J. R. D. Tata,Tata Motors,Mumbai,27948
Samuel Sachs,Goldman Sachs,200 West Street,34000
Samuel Sachs,Goldman Sachs,200 West Street,34400
François Pinault,Kering,Paris,33000
David Edgerton,Burger King,Miami,34248
François Pinault,Kering,Paris,35877
Will Keith Kellogg,Kellogg's,Battle Creek,33577
Carl Karcher,CKE Restaurants,Carpinteria,20200
Heinz Nixdorf,Nixdorf Computer,Paderborn,31037
Cadwallader C. Washburn,General Mills,Golden Valley,35000
Igor Kolomoyskiy,PrivatBank,Dnipro,27507
Reinfried Pohl,Deutsche Vermögensberatung,Frankfurt am Main,35000
Cadwallader C. Washburn,General Mills,Minnesota,35000
Andrey Melnichenko,Siberian Coal Energy Company,Moscow,33500
Marc Benioff,Salesforce.com,Salesforce Tower,29000
Marc Benioff,Salesforce.com,Salesforce Tower,35000
Emanuel Lehman,Lehman Brothers,New York City,28556
Jeffrey B. Straubel,Tesla,Palo Alto,37543
Johann Gottfried Spiesshofer,Triumph International,Heubach,33000
Mayer Lehman,Lehman Brothers,New York City,28556
Václav Laurin,Škoda Auto,Mladá Boleslav,33696
Elon Musk,Tesla,Palo Alto,37543
David H. McConnell,Avon Products Inc,New York City,28300
David H. McConnell,Avon Products Inc,New York City,36700
Maurice Mallet,Zodiac Aerospace,Plaisir,32567
Pietro Ferrero,Ferrero SpA,Alba,33219
Henadiy Boholyubov,PrivatBank,Dnipro,27507
Hiram Hutchinson,Hutchinson SA,Paris,35213
Giovanni Battista Pirelli,Pirelli,Milan,30198
Axel Oxenstierna,Posten AB,Arken,30000
J. P. Morgan,U.S. Steel,Pittsburgh,42000
Ernest Solvay,Solvay,Brussels metropolitan area,30900
Martin Eberhard,Tesla,Palo Alto,37543
Marc Tarpenning,Tesla,Palo Alto,37543
Charles Joseph Bonaparte,Federal Bureau of Investigation,"Washington, D.C.",35104
Daniel Swarovski,Swarovski,Wattens,32000
"Eugen Hilti, Martin hilti",Hilti,Schaan,28000
Pietro Ferrero,Ferrero SpA,Frankfurt am Main,33219
Charles Kalms,Dixons Retail,Hemel Hempstead,38000
Oleg Zherebtsov,Lenta,Saint Petersburg,35100
Henry Lehman,Lehman Brothers,New York City,28556
Scott McNealy,Sun Microsystems,Santa Clara,34600
Enrico Mattei,Eni,Rome,29053
Vinod Khosla,Sun Microsystems,Santa Clara,34600
Václav Klement,Škoda Auto,Mladá Boleslav,33696
Serhiy Tihipko,PrivatBank,Dnipro,27507
James McLamore,Burger King,Miami,34248
Michael Braun,Triumph International,Bad Zurzach,33000
Luo Jye,Cheng Shin Rubber,Taiwan,30000
Bill Joy,Sun Microsystems,Santa Clara,34600
John Schnatter,Papa John's Pizza,Louisville,20700
Andrew Carnegie,U.S. Steel,Pittsburgh,42000
Park Tae-joon,POSCO,Pohang,37225
"Richard S. Reynolds, Sr.",Reynolds Group Holdings,Richmond,29000
Don Panoz,Mylan,Canonsburg,35000
Tomáš Baťa,Bata Limited,Lausanne,30000
J. Edgar Hoover,Federal Bureau of Investigation,"Washington, D.C.",35104
Andrej Babiš,Agrofert,Prague,32730
John McElroy,Boston College,Chestnut Hill,3800
Russel Simmons,Yelp,140 New Montgomery,4350
Franklin Delano Roosevelt,U.S. Securities and Exchange Commission,"Washington, D.C.",4301
Isser Harel,Mossad,Hadar Dafna Building,3000
Günther Fielmann,Fielmann,Barmbek-Süd,3417
Rui Nabeiro,Delta Cafés,Campo Maior,3000
Jeremy Stoppelman,Yelp,140 New Montgomery,4350
Francis II,University of Rennes 1,Rennes,3201
Noah Glass,"Twitter, Inc.",United States of America,3898
Jacques-Henry Mallet,The Pictet Group,Geneva,4358
Biz Stone,"Twitter, Inc.",United States of America,3898
Liam Anderson,De La Rue,Basingstoke,4000
Charles-Louis Havas,Agence France-Presse,Paris,3760
Dennis Fairclough,Novell,Waltham,4000
Mark Palmer,Central European Media Enterprises,Hamilton,4100
Gerald D. Hines,Hines Interests Limited Partnership,Williams Tower,3775
Max Bahr,Max Bahr,Hamburg,3188
Evan Williams,"Twitter, Inc.",United States of America,3898
Dennis Fairclough,Novell,Provo,4000
David Sun,Kingston Technology,Fountain Valley,4000
Ronald Lauder,Central European Media Enterprises,Hamilton,4100
Robert Riemerschmid,Bayerischer Rundfunk,Munich,3402
Tom Slick,Southwest Research Institute,San Antonio,3000
Jaroslav Strnad,Czechoslovak Group,Prague,3599
Dositej Obradović,University of Belgrade,Belgrade,4200
Dorothy Stowe,Greenpeace,Amsterdam,2900
R. J. Reynolds,R. J. Reynolds Tobacco Company,Winston-Salem,4000
Yuri Milner,Mail.Ru Group,Moscow,2867
Yuri Milner,Mail.Ru Group,Moscow,3122
Andrei Tupolev,Tupolev,Moscow,4049
Marc Benioff,Salesforce.com,Salesforce Tower,3566
Marc Benioff,Salesforce.com,Salesforce Tower,3969
David Ben-Gurion,Mossad,Ramat HaSharon,3000
Yuri Milner,Mail.Ru Group,Leningradsky Avenue,2867
Yuri Milner,Mail.Ru Group,Leningradsky Avenue,3122
Gojong of the Korean Empire,Republic of Korea National Red Cross,Seoul,3518
Holland Nimmons McTyeire,Vanderbilt University,Nashville,3358
Mikhail Mil,Mil Moscow Helicopter Plant,Tomilino,3246
Jules B. Kroll,Kroll Inc.,New York City,3500
Jim Bohlen,Greenpeace,Amsterdam,2900
Vivek Ranadivé,Tibco Software,Palo Alto,4200
Deep Kalra,MakeMyTrip,Gurgaon,3426
Dmitry Grishin,Mail.Ru Group,Moscow,2867
Dmitry Grishin,Mail.Ru Group,Moscow,3122
Jack Dangermond,Esri,Redlands,3100
Eugene Kaspersky,Kaspersky,Moscow,3300
Eugene Kaspersky,Kaspersky,Moscow,3600
Iqbal Quadir,Grameenphone,Baridhara,3638
Dmitry Grishin,Mail.Ru Group,Leningradsky Avenue,2867
Dmitry Grishin,Mail.Ru Group,Leningradsky Avenue,3122
Émile Boutmy,Sciences Po,Paris,3275
Jack Dorsey,"Twitter, Inc.",United States of America,3898
Alex d'Arbeloff,Teradyne,Boston,3200
Enzo Ferrari,Ferrari,Maranello,3815
Mikhail Mil,Mil Moscow Helicopter Plant,Moscow,3246
Irving Stowe,Greenpeace,Amsterdam,2900
John Anderson,University of Strathclyde,Glasgow,3200
Jacob-Michel-François de Candolle,The Pictet Group,Geneva,4358
John Tu,Kingston Technology,Fountain Valley,4000
Nazmul Hasan Papon,University of Dhaka,Dhaka,3408
Werner Otto,ECE Projektmanagement,Hamburg,3400
David Ben-Gurion,Mossad,Hadar Dafna Building,3000
Robert Keane,Vistaprint,Venlo,4100
Josiah Wedgwood,Wedgwood,Stoke-on-Trent,3100
Isser Harel,Mossad,Ramat HaSharon,3000
Victor Civita,Grupo Abril,São Paulo,3000
Melitta Bentz,Melitta,Minden,3672
Luigi Lavazza,Lavazza,Turin,3800
Vernon Rudolph,Krispy Kreme,Winston-Salem,4000
Eugene Kaspersky,Kaspersky,Leningradskoye Highway,3300
Eugene Kaspersky,Kaspersky,Leningradskoye Highway,3600
Edwin G. Booz,Booz & Company,New York City,3300
Pere Gallés,Europastry,Sant Cugat del Vallès,3000
Pere Gallés,Europastry,Sant Cugat del Vallès,2800
Max Grundig,Grundig,Nuremberg,4000
David W. Thompson,Orbital Sciences Corporation,Dulles,3300
Pavel Sukhoi,Sukhoi,Moscow,26000
Henry Lomb,Bausch & Lomb,Rochester,12000
Mustafa Kemal Atatürk,Turkey Business Bank,Istanbul,24887
John Warnock,Adobe,San Jose,11847
Eduardo Saverin,"Facebook, Inc.",Menlo Park,23165
Iwasaki Yatarō,Mitsubishi,Tokyo,350000
Sumner Redstone,Viacom,One Astor Plaza,11200
Jerry Sanders,Advanced Micro Devices,Sunnyvale,11705
Chaleo Yoovidhya,Red Bull GmbH,Fuschl am See,11886
Dietrich Mateschitz,Red Bull GmbH,Fuschl am See,11886
Marc Ewing,Red Hat,Raleigh,12000
Jerry Sanders,Advanced Micro Devices,California,11705
Leonard Riggio,Barnes & Noble,New York City,26000
Lee Byung-chul,Samsung,Samsung Town,489000
Ernst Werner von Siemens,Siemens,Palais Ludwig Ferdinand,372000
Max Théret,Fnac,Ivry-sur-Seine,26018
Andrew Mason,Groupon,Chicago,12000
Chris Malachowsky,NVIDIA,California,11528
Charles Geschke,Adobe,San Jose,11847
Charles A. Coffin,General Electric,Boston,295000
Emilio Azcárraga Milmo,Televisa,Mexico City,24362
Dustin Moskovitz,"Facebook, Inc.",Menlo Park,23165
James E. Casey,United Parcel Service,Sandy Springs,434000
Jerry Sanders,Advanced Micro Devices,Santa Clara,11705
Ernst Werner von Siemens,Siemens,Berlin,372000
Yves Guillemot,Ubisoft,Montreuil,11779
Jen-Hsun Huang,NVIDIA,California,11528
Michel Guillemot,Ubisoft,Montreuil,11779
Robert Bosch,Robert Bosch GmbH,Stuttgart,400100
Chris Malachowsky,NVIDIA,Santa Clara,11528
Jack Gifford,Advanced Micro Devices,Sunnyvale,11705
Vehbi Koç,Arçelik,Istanbul,25000
John Francis mongoul,Monsanto,Creve Coeur,25500
John Jacob Bausch,Bausch & Lomb,Rochester,12000
Jack Gifford,Advanced Micro Devices,California,11705
Diane Greene,VMware Inc.,Palo Alto,24200
Marc Benioff,Salesforce.com,Salesforce Tower,25000
Emanuel Lehman,Lehman Brothers,New York City,26200
Mayer Lehman,Lehman Brothers,New York City,26200
Chris Hughes,"Facebook, Inc.",Menlo Park,23165
Jen-Hsun Huang,NVIDIA,Santa Clara,11528
Laurence D. Fink,BlackRock,New York City,11400
Carl Tchilinghiryan,Tchibo,Hamburg,12000
Leroy Grumman,Grumman,Bethpage,23000
William Redington Hewlett,Hewlett-Packard,Palo Alto,302000
Oliver Chace,Berkshire Hathaway,Omaha,361270
Jeff Bezos,Amazon,Seattle,675500
John Francis mongoul,Monsanto,St. Louis,25500
Adélard Godbout,Hydro-Quebec,Hydro-Québec Building,23616
Jack Gifford,Advanced Micro Devices,Santa Clara,11705
Charles Ranlett Flint,IBM,Armonk,350600
Bob Young,Red Hat,Raleigh,12000
Steve Ross,WarnerMedia,New York City,25600
Kiichiro Toyoda,Toyota,Toyota,348877
Edwin Turney,Advanced Micro Devices,Sunnyvale,11705
Reid Hoffman,LinkedIn,Sunnyvale,11800
Ruben Rausing,Tetra Pak,Pully,22896
Curtis Priem,NVIDIA,California,11528
Henry Lehman,Lehman Brothers,New York City,26200
Yves Guillemot,Ubisoft,Rennes,11779
Khalifa bin Zayed Al Nahyan,Etihad Airways,Abu Dhabi,24558
Adélard Godbout,Hydro-Quebec,Montreal,23616
Michel Guillemot,Ubisoft,Rennes,11779
Henri Nestlé,Nestlé,Vevey,328000
Edwin Turney,Advanced Micro Devices,California,11705
Mark Zuckerberg,"Facebook, Inc.",Menlo Park,23165
Mendel Rosenblum,VMware Inc.,Palo Alto,24200
Garrett Camp,Uber,San Francisco,12000
Steve Ross,WarnerMedia,Delaware,25600
Marcel Dassault,Dassault Aviation,Paris,11398
Edwin J. Houston,General Electric,Boston,295000
David Packard,Hewlett-Packard,Palo Alto,302000
Ernesto Nathan,ATAC,Rome,11024
Elihu Thomson,General Electric,Boston,295000
Curtis Priem,NVIDIA,Santa Clara,11528
Max Herz,Tchibo,Hamburg,12000
Harvey Samuel Firestone,Firestone Tire and Rubber Company,Nashville,23000
Robert S. Kapito,BlackRock,New York City,11400
Edwin Turney,Advanced Micro Devices,Santa Clara,11705
Richard Kinder,Kinder Morgan,Houston,11075
André Essel,Fnac,Ivry-sur-Seine,26018
Thomas Alva Edison,General Electric,Boston,295000
Andrew McCollu,"Facebook, Inc.",Menlo Park,23165
Jagdish Chandra Mahindra,Mahindra & Mahindra,Mumbai,11600
Henry Dunant,International Red Cross and Red Crescent Movement,Geneva,300000
Travis Kalanick,Uber,San Francisco,12000
Charles Ranlett Flint,IBM,New York,350600
Bernard Kroger,Kroger,Cincinnati,453000
Bernard Kroger,Kroger,Cincinnati,338300
Rinat Akhmetov,DTEK,Kyiv,140000
Bill Bain,Bain & Company,Boston,9000
Frederick W. Robertshaw,Robertshaw,Itasca,7000
Petro Poroshenko,Roshen,Kremenchuk,9000
Ed Iacobucci,Citrix Systems,Fort Lauderdale,9000
Vasily Tatishchev,Motovilikha Plants,Perm,7000
Íris Abravanel,Jequiti,Osasco,7000
Carlos Holguín Mallarino,National Police of Colombia,CAN,180000
"Alfred Harmsworth, 1st Viscount Northcliffe",Daily Mail and General Trust,London,9600
William Redington Hewlett,HP Inc.,Palo Alto,48000
Tatyana Bakalchuk,Wildberries,Moscow,20000
Wilhelm Werhahn,Wilh. Werhahn KG,Neuss,8710
Wilhelm Werhahn,Wilh. Werhahn KG,Neuss,9189
Bruno Bolfo,DITH,Lugano,3164
Petro Poroshenko,Roshen,Yahotyn,9000
"Alfred Harmsworth, 1st Viscount Northcliffe",Daily Mail and General Trust,Kensington,9600
Agostino Rocca,Techint,Buenos Aires,59196
Alexandre Grendene Bartelle,Grendene,Sobral,22100
Jaume Roures,Mediapro,Mediapro Tower,6695
Olivier Baussan,Bodia Spa Cambodian Cocoon,Manosque,7700
August Kongsted,Novo Nordisk,Bagsværd,42400
Wayne Huizenga,"Waste Management, Inc",Houston,43000
Ivica Todorić,Agrokor,Zagreb,40000
Pere Carbó,Caprabo,L'Hospitalet de Llobregat,10100
Marie Krogh,Novo Nordisk,Bagsværd,42400
Abdul-Aziz bin Muhammad,Royal Saudi Navy,Riyadh,60000
Rupert Murdoch,21st Century Fox,New York City,25000
Ingvar Kamprad,INGKA Holding,Leiden,166985
Ma Huateng,Tencent,Shenzhen,44796
Pere Carbó,Caprabo,Barcelona,10100
Napoleon III,Vivendi,Paris,44142
Steno Marcegaglia,Marcegaglia,Gazoldo degli Ippoliti,6500
Robert Half,Robert Half International,Menlo Park,11300
Robert Pierce,World Vision International,Monrovia,40000
Asa Griggs Candler,The Coca-Cola Company,Atlanta,200000
René Benko,Signa Holding,Innsbruck,46000
Steve Ells,Chipotle Mexican Grill,Denver,45200
August Krogh,Novo Nordisk,Bagsværd,42400
Elie Horn,Cyrela Brazil Realty,São Paulo,8000
George Gilman,The Great Atlantic & Pacific Tea Company,Montvale,42872
Wang Chuanfu,BYD Company,Shenzhen,194000
William Heinecke,Minor Food Group,Khlong Toei,37972
Petro Poroshenko,Roshen,Budapest,9000
Robert Pierce,World Vision International,Recife,40000
Marcellin Leroy,Leroy-Somer,Angoulême,8000
Jacques Courtin,Clarins Group,Neuilly-sur-Seine,10000
James Truchard,National Instruments,Austin,6235
Tatyana Bakalchuk,Wildberries,"Milkovo, Moscow Oblast",20000
Ralph Lauren,Ralph Lauren Corporation,New York City,6900
Robert Pritzker,Marmon Group,Chicago,20000
Petro Poroshenko,Roshen,Lipetsk,9000
Robert Buchan,Kinross Gold,Toronto,9300
Leonard Riggio,Barnes & Noble,New York City,40000
Denis O'Brien,Digicel El Salvador,Haiti,6500
Marc Andreessen,Netscape Comunications Corporation,Mountain View,10000
Levi Strauss,Levi Strauss & Co.,San Francisco,10000
Keiichiro Takahara,Unicharm,Minato-ku,10287
Pradeep Sindhu,Juniper Networks,Sunnyvale,9419
Jack Gifford,Maxim Integrated,San Jose,9300
Irwin M. Jacobs,Qualcomm Inc.,San Diego,41000
Joe Albertson,Albertsons,Boise,250000
John W. Stanton,T-Mobile US,Bellevue,38000
Joseph Tsai,Alibaba Group,Binjiang District,50097
David M. Overton,The Cheesecake Factory,Calabasas,38800
Sam Eyde,Elkem,Oslo,6280
Petro Poroshenko,Roshen,Klaipėda,9000
Albert Toll,Toll Group,Melbourne,40000
Aneel Bhusri,"Workday, Inc.",Pleasanton,10500
William Redington Hewlett,Keysight Technologies,Santa Rosa,9500
Jacques Courtin,Clarins Group,Pontoise,10000
He Xiangjian,Midea,Shunde District,135000
Anton Kathrein,Kathrein-Werke,Rosenheim,8900
Rupert Murdoch,21st Century Fox,1211 Avenue of the Americas,25000
John Lewis,John Lewis Partnership,London,98000
François Pinault,Kering,Paris,44000
Edir Macedo,Grupo Record,São Paulo,9000
George W. Rice,Massachusetts Mutual Life Insurance Company,Springfield,8000
Petro Poroshenko,Roshen,Vinnytsia,9000
Sidney Harman,Harman International Industries,Stamford,11246
Petro Poroshenko,Roshen,Kyiv,9000
Rudi Finžgar,Elan,Begunje na Gorenjskem,121732
Rinat Akhmetov,DTEK,Donetsk,140000
Ernestina Herrera de Noble,Grupo Clarín,Buenos Aires,7000
Samuel Smith,Smiths Group,London,23250
Afonso Pinto de Magalhães,Sonae,Maia,43300
Jean Nidetch,WW International,New York City,25000
Zhang Zhidong,Tencent,Shenzhen,44796
Carl von Thieme,Munich Re,Munich,42410
Andrei Tupolev,Tupolev,Moscow,9648
Chen Yidan,Tencent,Shenzhen,44796
Marc Benioff,Salesforce.com,Salesforce Tower,9800
Jack Ma,Alibaba Group,Binjiang District,50097
Henry Ford,Ford Motor Company of Canada,Oakville,23500
Dmitry Zimin,OJSC VimpelCom,Moscow,38000
Lynn D. Stewart,Hooters,Atlanta,25000
Marcel Bleustein-Blanchet,Publicis,133 avenue des Champs-Élysées,44000
Andrew Viterbi,Qualcomm Inc.,San Diego,41000
Hans Christian Hagedorn,Novo Nordisk,Bagsværd,42400
Tadashi Yanai,Fast Retailing,Yamaguchi,8055
Levi Strauss,Levi Strauss & Co.,Levi's Plaza,10000
Lu Xiang-yang,BYD Company,Shenzhen,194000
Jos de Blok,Buurtzorg Nederland,Almelo,10000
Edwin Ruud,Rheem,Atlanta,7000
John D. Hertz,The Hertz Corporation,Estero,38000
Dieter Schwarz,Kaufland Česká republika,Prague,11097
Dean Buntrock,"Waste Management, Inc",Houston,43000
Ray Stata,Analog Devices,Norwood,9200
Patrick Joseph McGovern,IDG,United States of America,12000
Edward C. Johnson II,Fidelity Investments,Boston,45000
Robert Larue Stewart,"GMA Network, Inc.",GMA Network Center,7406
João Gerdau,Gerdau,Porto Alegre,47000
James H. Clark,Netscape Comunications Corporation,Mountain View,10000
Dave Thomas,Wendy's International,Dublin,58000
Ludwig II of Bavaria,Technical University of Munich,Munich,9595
David Duffield,"Workday, Inc.",Pleasanton,10500
Wang Wei,SF Express,Shenzhen,240000
Wilhelm Finck,Munich Re,Munich,42410
Arthur L. Parker,Parker Hannifin,Cleveland,57500
Robert Kotick,Activision Blizzard,Santa Monica,9000
Warren A. Bechtel,Bechtel,San Francisco,44000
Gerard Romy Belilos,Mediapro,Mediapro Tower,6695
James Maynard,Golden Corral,Raleigh,9000
Edson Queiroz,Grupo Edson Queiroz,Fortaleza,11400
Walter L. Jacobs,The Hertz Corporation,Estero,38000
Albert Louis Georges Nève,Taganrog Metallurgical Plant,Taganrog,6000
Pieter Geelen,TomTom,Amsterdam,4600
Olivier Roux,GL Events,2nd arrondissement of Lyon,4298
Alexander I of Russia,Kalashnikov Concern,Proezd Deryabina,5930
Daniel Edelman,Edelman,New York City,5500
Corinne Vigreux,TomTom,Amsterdam,4600
Harold Goddijn,TomTom,Amsterdam,4600
Marc Randolph,Netflix,Los Gatos,5400
Andrónico Lukšić,Antofagasta PLC,London,5637
Tan Kah Kee,Xiamen University,Xiamen,4600
Ehsan Bayat,Afghan Wireless,Kabul,5500
Mikhail Yangel,Yuzhnoye Design Office,Dnipro,5500
Oleg Tinkov,Tinkoff Bank,Moscow,4600
Govert van Oord,Van Oord,Rotterdam,5000
Alexander Duff,University of Calcutta,Kolkata,5500
Tommy Hilfiger,Tommy Hilfiger Corporation,New York City,5000
Hans Christian Ørsted,Technical University of Denmark,Kongens Lyngby,5800
Carl Frederik Tietgen,DFDS,Copenhagen,5930
Fusajiro Yamauchi,Nintendo,Higashiyama-ku,5120
Michael Morhaime,Blizzard Entertainment,Irvine,4700
Jérémy Hodara,Jumia,Ikeja,5000
Martin Herrenknecht,Herrenknecht,Schwanau,4600
Facundo Bacardi,Bacardi,Hamilton,6000
Pat Hanrahan,Tableau Software,Fremont,4181
Charles Kaman,Kaman Aircraft,Bloomfield,4743
Bill Lear,Learjet,Wichita,4975
Peter-Frans Pauwels,TomTom,Amsterdam,4600
John Cockerill,John Cockerill,Seraing,4470
Henry Ford,Ford Australia,Melbourne,6000
Robert Metcalfe,3Com,Marlborough,6000
Andrey Fedorovich Deryabin,Kalashnikov Concern,Proezd Deryabina,5930
Fusajiro Yamauchi,Nintendo,Kyoto,5120
Wilhelm von Humboldt,Humboldt University of Berlin,Prince Henry Palace,4479
Alexander I of Russia,Kalashnikov Concern,Izhevsk,5930
Hiroaki Aoki,Benihana,Doral,5000
Subaskaran Allirajah,LycaMobile,London,5000
Marc Benioff,Salesforce.com,Salesforce Tower,5306
Ralph Freeman,Hyder Consulting,London,5000
Li Hejun,Hanergy,Beijing,5000
William J. Rutter,Chiron Corporation,Emeryville,5400
James Braidwood,London Fire Brigade,London,5992
Martin Herrenknecht,Herrenknecht,Baden-Württemberg,4600
Henry A. Wallace,Pioneer Hi-Bred,Johnston,5000
Ewald Witte,Witte Automotive,Velbert,4100
Ewald Witte,Witte Automotive,Velbert,4600
Kendall D. Garff,Ken Garff Automotive Group,Salt Lake City,4700
Paul I of Russia,Kirov Plant,Saint Petersburg,5900
Sehat Sutardja,Marvell Technology Group,Hamilton,5300
Fusajiro Yamauchi,Nintendo,Shimogyō-ku,5120
Pablo DT Valenzuela,Chiron Corporation,Emeryville,5400
Michael G. Rubin,GSI Commerce,King of Prussia,5616
Marc Seriff,AOL,New York City,5600
Rihachi Mizuno,Mizuno Corporation,Ōsaka,5808
Seiemon Inaba,FANUC,Oshino,5092
Ken Xie,Fortinet,Sunnyvale,5066
Steve Case,AOL,New York City,5600
Fred A. Lennon,Swagelok,Solon,4800
Olivier Ginon,GL Events,2nd arrondissement of Lyon,4298
John IV,Université catholique de Louvain,Louvain-la-Neuve,5893
Daniel Gauthier,Cirque du Soleil,Montreal,5020
Pat Hanrahan,Tableau Software,Seattle,4181
Hubert Perrodo,Perenco,France,6000
Amand Struve,Kolomna Locomotive Works,Kolomna,5857
Jim Kimsey,AOL,New York City,5600
Patricia House,Siebel Systems,San Mateo,5000
Andrey Fedorovich Deryabin,Kalashnikov Concern,Izhevsk,5930
Larry Nichols,Devon Energy,Oklahoma City,5900
Enrique de Sendagorta Aramburu,SENER,Spain,6000
Oleg Tinkov,Tinkoff Bank,1st Volokolamsky Passage,4600
Thomas Sopwith,Sopwith Aviation Company,Kingston upon Thames,5000
Guy Laliberté,Cirque du Soleil,Montreal,5020
Thomas Siebel,Siebel Systems,San Mateo,5000
William the Silent,Leiden University,Leiden,5500
Horácio Roque,Banif Financial Group,Funchal,5400
Reed Hastings,Netflix,Los Gatos,5400
Jerome Swartz,Symbol Technologies,Holtsville,5400
Bob Parsons,GoDaddy,Scottsdale,5990
Joseph Szydlowski,Safran Helicopter Engines,Bordes,4905
Joseph Szydlowski,Safran Helicopter Engines,Bordes,5178
Nikolay Yegorovich Zhukovsky,Central Aerohydrodynamic Institute,Moscow,4490
